experiment_id,sample_id,time_min,temperature_c,ph,concentration_mg_L,absorbance,signal_noise_ratio
EXP001,S01,0,20,6.8,5,0.112,18.4
EXP001,S02,5,20,6.8,5,0.128,19.1
EXP001,S03,10,20,6.8,5,0.141,20.3
EXP001,S04,15,20,6.8,5,0.155,21.0
EXP001,S05,20,20,6.8,5,0.169,21.7
EXP001,S06,0,25,7.0,5,0.118,18.9
EXP001,S07,5,25,7.0,5,0.136,20.0
EXP001,S08,10,25,7.0,5,0.152,21.4
EXP001,S09,15,25,7.0,5,0.168,22.2
EXP001,S10,20,25,7.0,5,0.182,23.1
EXP002,S11,0,30,7.2,10,0.205,24.5
EXP002,S12,5,30,7.2,10,0.226,25.7
EXP002,S13,10,30,7.2,10,0.248,27.1
EXP002,S14,15,30,7.2,10,0.269,28.3
EXP002,S15,20,30,7.2,10,0.291,29.8
EXP002,S16,0,35,7.4,10,0.214,25.1
EXP002,S17,5,35,7.4,10,0.238,26.6
EXP002,S18,10,35,7.4,10,0.261,27.9
EXP002,S19,15,35,7.4,10,0.284,29.1
EXP002,S20,20,35,7.4,10,0.307,30.6
EXP003,S21,0,25,6.5,15,0.298,31.2
EXP003,S22,5,25,6.5,15,0.321,32.4
EXP003,S23,10,25,6.5,15,0.346,33.9
EXP003,S24,15,25,6.5,15,0.371,35.1
EXP003,S25,20,25,6.5,15,0.395,36.5
EXP003,S26,0,30,6.7,15,0.309,31.8
EXP003,S27,5,30,6.7,15,0.334,33.0
EXP003,S28,10,30,6.7,15,0.359,34.6
EXP003,S29,15,30,6.7,15,0.385,35.9
EXP003,S30,20,30,6.7,15,0.411,37.4
EXP004,S31,0,20,7.8,20,0.402,38.1
EXP004,S32,5,20,7.8,20,0.428,39.6
EXP004,S33,10,20,7.8,20,0.455,41.0
EXP004,S34,15,20,7.8,20,0.482,42.3
EXP004,S35,20,20,7.8,20,0.509,43.9
EXP004,S36,0,25,8.0,20,0.417,38.7
EXP004,S37,5,25,8.0,20,0.445,40.2
EXP004,S38,10,25,8.0,20,0.473,41.6
EXP004,S39,15,25,8.0,20,0.501,43.1
EXP004,S40,20,25,8.0,20,0.529,44.7

