experiment_id,batch_id,time_min,temperature_c,ph,concentration_mg_L,dissolved_oxygen_%,absorbance_600nm,growth_rate,foam_level
EXP_001,BATCH_A,0,36.98,7.35,2.52,97.79,0.045,0.0,1
EXP_001,BATCH_A,15,37.08,7.18,2.02,100.0,0.045,0.0,2
EXP_001,BATCH_A,30,37.03,7.33,2.26,96.22,0.045,0.034,2
EXP_001,BATCH_A,45,36.94,7.2,2.18,97.22,0.052,0.0,1
EXP_001,BATCH_A,60,36.99,7.19,2.49,98.85,0.045,0.0,2
EXP_001,BATCH_A,75,37.25,7.35,2.91,97.64,0.045,0.0,1
EXP_001,BATCH_A,90,37.13,7.29,2.05,99.6,0.045,0.0,1
EXP_001,BATCH_A,105,36.87,7.26,2.49,96.51,0.045,0.0,2
EXP_001,BATCH_A,120,36.89,7.19,1.84,99.64,0.045,0.0,1
EXP_001,BATCH_A,135,37.02,7.23,2.42,97.53,0.045,0.0,1
EXP_001,BATCH_A,150,36.72,7.28,2.01,97.92,0.045,0.0,1
EXP_001,BATCH_A,165,36.91,7.23,2.8,99.19,0.045,0.0,1
EXP_001,BATCH_A,180,36.95,7.25,2.43,95.97,0.045,0.026,1
EXP_001,BATCH_A,195,37.07,7.25,3.05,95.93,0.05,0.0,1
EXP_001,BATCH_A,210,37.02,7.27,2.66,97.51,0.045,0.0,1
EXP_001,BATCH_A,225,37.02,7.21,1.68,96.33,0.045,0.0,1
EXP_001,BATCH_A,240,36.93,7.26,1.35,97.81,0.045,0.0,1
EXP_001,BATCH_A,255,37.04,7.33,2.38,93.09,0.045,0.097,3
EXP_001,BATCH_A,270,36.91,7.25,2.08,91.72,0.064,0.085,3
EXP_001,BATCH_A,285,36.96,7.34,3.3,92.37,0.062,0.087,3
EXP_001,BATCH_A,300,36.87,7.24,3.8,85.07,0.082,0.199,4
EXP_001,BATCH_A,315,37.03,7.22,4.69,84.36,0.102,0.244,6
EXP_001,BATCH_A,330,37.01,7.21,6.39,94.55,0.131,0.0,2
EXP_001,BATCH_A,345,37.0,7.21,3.28,97.15,0.068,0.0,1
EXP_001,BATCH_A,360,36.86,7.19,6.13,77.71,0.129,0.389,8
EXP_001,BATCH_A,375,36.91,7.23,7.14,97.84,0.146,0.002,1
EXP_001,BATCH_A,390,37.11,7.28,6.87,95.25,0.13,0.0,1
EXP_001,BATCH_A,405,36.92,7.12,6.7,87.83,0.136,0.142,4
EXP_001,BATCH_A,420,36.84,7.18,8.12,82.7,0.158,0.248,6
EXP_001,BATCH_A,435,37.06,7.22,9.44,67.47,0.186,0.527,10
EXP_001,BATCH_A,450,36.94,7.15,12.83,84.48,0.263,0.212,6
EXP_001,BATCH_A,465,36.94,7.26,11.79,87.9,0.228,0.132,4
EXP_001,BATCH_A,480,37.04,7.13,14.33,63.44,0.29,0.557,10
EXP_001,BATCH_A,495,36.88,7.17,17.44,88.24,0.34,0.077,3
EXP_001,BATCH_A,510,36.95,7.16,15.18,76.47,0.305,0.354,8
EXP_001,BATCH_A,525,37.02,7.13,19.76,56.33,0.411,0.678,10
EXP_001,BATCH_A,540,36.83,7.01,21.62,73.83,0.441,0.318,7
EXP_001,BATCH_A,555,37.03,7.15,24.59,58.83,0.474,0.557,10
EXP_001,BATCH_A,570,37.13,7.14,27.25,43.42,0.552,0.854,10
EXP_001,BATCH_A,585,36.96,6.99,32.82,52.45,0.645,0.676,10
EXP_001,BATCH_A,600,36.96,7.04,34.59,60.3,0.687,0.523,10
EXP_001,BATCH_A,615,36.98,6.91,37.63,52.62,0.75,0.637,10
EXP_001,BATCH_A,630,36.98,6.95,41.21,58.9,0.815,0.472,10
EXP_001,BATCH_A,645,37.05,6.85,42.21,38.49,0.844,0.875,10
EXP_001,BATCH_A,660,37.09,6.9,50.0,29.51,0.99,0.996,10
EXP_001,BATCH_A,675,37.04,6.89,52.69,47.19,1.043,0.658,10
EXP_001,BATCH_A,690,36.96,6.84,54.71,34.35,1.121,0.845,10
EXP_001,BATCH_A,705,36.85,6.78,60.39,16.48,1.212,1.077,10
EXP_001,BATCH_A,720,37.01,6.74,67.23,26.65,1.337,0.957,10
EXP_001,BATCH_A,735,37.09,6.74,69.7,39.21,1.404,0.582,10
EXP_001,BATCH_A,750,36.95,6.7,73.33,17.46,1.453,1.033,10
EXP_001,BATCH_A,765,37.06,6.67,80.43,6.96,1.61,1.181,10
EXP_001,BATCH_A,780,37.09,6.68,84.63,26.53,1.69,0.738,10
EXP_001,BATCH_A,795,37.07,6.6,87.45,29.15,1.758,0.671,10
EXP_001,BATCH_A,810,36.93,6.55,91.12,31.7,1.824,0.654,10
EXP_001,BATCH_A,825,37.16,6.52,95.15,15.64,1.889,0.842,10
EXP_001,BATCH_A,840,37.89,6.38,100.73,25.14,1.992,0.696,10
EXP_001,BATCH_A,855,37.73,6.49,100.9,30.19,2.028,0.533,10
EXP_001,BATCH_A,870,37.79,6.46,105.34,21.5,2.099,0.716,10
EXP_001,BATCH_A,885,37.82,6.4,108.5,22.42,2.171,0.65,10
EXP_001,BATCH_A,900,37.66,6.32,110.93,8.24,2.229,0.864,10
EXP_001,BATCH_A,915,37.04,6.35,117.67,32.64,2.344,0.374,8
EXP_001,BATCH_A,930,37.01,6.29,115.69,41.82,2.303,0.217,6
EXP_001,BATCH_A,945,37.04,6.34,119.73,26.06,2.387,0.554,10
EXP_001,BATCH_A,960,37.12,6.2,120.09,31.49,2.414,0.375,8
EXP_001,BATCH_A,975,37.16,6.25,123.74,35.52,2.462,0.275,6
EXP_001,BATCH_A,990,37.1,6.23,123.01,38.65,2.469,0.252,5
EXP_001,BATCH_A,1005,36.94,6.26,125.4,32.8,2.513,0.289,7
EXP_001,BATCH_A,1020,37.15,6.19,126.33,40.03,2.527,0.14,3
EXP_001,BATCH_A,1035,37.15,6.23,126.82,36.46,2.541,0.227,5
EXP_001,BATCH_A,1050,37.14,6.34,128.21,41.78,2.572,0.124,4
EXP_001,BATCH_A,1065,36.69,6.25,127.84,36.24,2.566,0.185,4
EXP_001,BATCH_A,1080,37.08,6.22,131.24,40.04,2.609,0.155,4
EXP_001,BATCH_A,1095,36.94,6.24,129.72,43.53,2.597,0.066,2
EXP_001,BATCH_A,1110,36.83,6.26,131.02,39.01,2.623,0.122,4
EXP_001,BATCH_A,1125,37.16,6.2,131.14,30.8,2.621,0.298,7
EXP_001,BATCH_A,1140,37.21,6.25,134.3,35.56,2.682,0.16,4
EXP_001,BATCH_A,1155,37.05,6.18,132.73,46.15,2.653,0.0,1
